career_average_earnings,annual_benefit,replacement_rate
0.3069472464487332,0.2762525218038599,0.9
0.6278466404633178,0.3878417980355402,0.6177333333333334
0.9487460344779025,0.4905296041202073,0.5170294117647058
1.2696454284924872,0.5932174102048744,0.4672307692307692
1.590544822507072,0.6959052162895416,0.4375263157894737
1.9114442165216565,0.7985930223742086,0.4177956204379562
2.2323436105362413,0.8557410188039364,0.3833375
2.553243004550826,0.9038759279061241,0.3540109289617486
2.8741423985654104,0.9520108370083118,0.33123300970873787
3.195041792579995,1.0001457461104994,0.3130305676855895
3.5159411865945804,1.0482806552126873,0.29815079365079367
3.8368405806091648,1.096415564314875,0.28576
