dropped,gap_pct,shift_pct,challenger_cec,incumbent_cec,ordering_holds
DEU,3.4593408874858733,-2.333986574250302,1.0509247938347546,1.0157853170335354,True
DNK,5.215966753956103,-0.5773607077800724,1.0881702237039546,1.0342253721325423,True
PRT,5.385727736014112,-0.40759972572206316,1.136874775475031,1.0787748966566368,True
AUS,5.494507748314037,-0.2988197134221382,1.0896517891729087,1.0328990697530631,True
SWE,5.581857461023287,-0.2114700007128878,1.1025327852088016,1.0442445432595404,True
FRA,5.60848477294571,-0.18484268879046528,1.1417249256796373,1.0810920430629254,True
FIN,5.7164296074528,-0.07689785428337537,1.1061601644369647,1.0463465031351973,True
ESP,5.72909444294023,-0.06423301879594501,1.1147516246703935,1.0543470844460903,True
GBR,5.795157958804964,0.0018304970687887945,1.1027885472402186,1.0423809260435415,True
NOR,5.868698334585676,0.07537087284950061,1.1166620355230459,1.0547612779690232,True
CHE,6.022697956047196,0.22937049431102086,1.1073690809921315,1.0444641594116033,True
NLD,6.045749657125676,0.25242219538950117,1.1097986387162837,1.0465281657252272,True
USA,6.181147667906717,0.3878202061705416,1.1002320588711976,1.036183995969129,True
JPN,6.2686691782312565,0.4753417164950813,1.0909564856913032,1.0266021905869331,True
BEL,6.367607815341847,0.5742803536056718,1.1251712348663088,1.05781380062589,True
ITA,7.26083096339456,1.4675035016583848,1.144998087666058,1.067489480905492,True
