variant,age,savings_rate,risk_aversion
solved γ=2,25,1.3944954126393403e-10,2.0
solved γ=2,26,1.3944954126393403e-10,2.0
solved γ=2,27,1.3944954126393403e-10,2.0
solved γ=2,28,1.3944954126393403e-10,2.0
solved γ=2,29,0.034862385315983506,2.0
solved γ=2,30,0.034862385315983506,2.0
solved γ=2,31,0.06972477063196701,2.0
solved γ=2,32,0.06972477063196701,2.0
solved γ=2,33,0.06972477063196701,2.0
solved γ=2,34,0.10458715594795051,2.0
solved γ=2,35,0.10458715594795051,2.0
solved γ=2,36,0.10458715594795051,2.0
solved γ=2,37,0.10458715594795051,2.0
solved γ=2,38,0.10458715594795051,2.0
solved γ=2,39,0.13944954126393402,2.0
solved γ=2,40,0.13944954126393402,2.0
solved γ=2,41,0.13944954126393402,2.0
solved γ=2,42,0.13944954126393402,2.0
solved γ=2,43,0.13944954126393402,2.0
solved γ=2,44,0.13944954126393402,2.0
solved γ=2,45,0.13944954126393402,2.0
solved γ=2,46,0.13944954126393402,2.0
solved γ=2,47,0.13944954126393402,2.0
solved γ=2,48,0.13944954126393402,2.0
solved γ=2,49,0.13944954126393402,2.0
solved γ=2,50,0.13944954126393402,2.0
solved γ=2,51,0.13944954126393402,2.0
solved γ=2,52,0.13944954126393402,2.0
solved γ=2,53,0.13944954126393402,2.0
solved γ=2,54,0.13944954126393402,2.0
solved γ=2,55,0.13944954126393402,2.0
solved γ=2,56,0.10458715594795051,2.0
solved γ=2,57,0.10458715594795051,2.0
solved γ=2,58,0.10458715594795051,2.0
solved γ=2,59,0.10458715594795051,2.0
solved γ=2,60,0.06972477063196701,2.0
solved γ=2,61,0.06972477063196701,2.0
solved γ=2,62,0.06972477063196701,2.0
solved γ=5,25,9.559748427432461e-11,5.0
solved γ=5,26,0.02389937106858115,5.0
solved γ=5,27,0.02389937106858115,5.0
solved γ=5,28,0.0477987421371623,5.0
solved γ=5,29,0.07169811320574346,5.0
solved γ=5,30,0.07169811320574346,5.0
solved γ=5,31,0.0955974842743246,5.0
solved γ=5,32,0.0955974842743246,5.0
solved γ=5,33,0.0955974842743246,5.0
solved γ=5,34,0.0955974842743246,5.0
solved γ=5,35,0.14339622641148692,5.0
solved γ=5,36,0.14339622641148692,5.0
solved γ=5,37,0.14339622641148692,5.0
solved γ=5,38,0.14339622641148692,5.0
solved γ=5,39,0.14339622641148692,5.0
solved γ=5,40,0.14339622641148692,5.0
solved γ=5,41,0.14339622641148692,5.0
solved γ=5,42,0.14339622641148692,5.0
solved γ=5,43,0.14339622641148692,5.0
solved γ=5,44,0.14339622641148692,5.0
solved γ=5,45,0.14339622641148692,5.0
solved γ=5,46,0.14339622641148692,5.0
solved γ=5,47,0.14339622641148692,5.0
solved γ=5,48,0.14339622641148692,5.0
solved γ=5,49,0.14339622641148692,5.0
solved γ=5,50,0.14339622641148692,5.0
solved γ=5,51,0.14339622641148692,5.0
solved γ=5,52,0.0955974842743246,5.0
solved γ=5,53,0.0955974842743246,5.0
solved γ=5,54,0.0955974842743246,5.0
solved γ=5,55,0.0955974842743246,5.0
solved γ=5,56,0.07169811320574346,5.0
solved γ=5,57,0.07169811320574346,5.0
solved γ=5,58,0.07169811320574346,5.0
solved γ=5,59,0.0477987421371623,5.0
solved γ=5,60,0.0477987421371623,5.0
solved γ=5,61,0.02389937106858115,5.0
solved γ=5,62,0.02389937106858115,5.0
solved γ=10,25,0.15833333331684035,10.0
solved γ=10,26,0.15833333331684035,10.0
solved γ=10,27,0.15833333331684035,10.0
solved γ=10,28,0.15833333331684035,10.0
solved γ=10,29,0.15833333331684035,10.0
solved γ=10,30,0.15833333331684035,10.0
solved γ=10,31,0.15833333331684035,10.0
solved γ=10,32,0.15833333331684035,10.0
solved γ=10,33,0.15833333331684035,10.0
solved γ=10,34,0.15833333331684035,10.0
solved γ=10,35,0.15833333331684035,10.0
solved γ=10,36,0.15833333331684035,10.0
solved γ=10,37,0.15833333331684035,10.0
solved γ=10,38,0.15833333331684035,10.0
solved γ=10,39,0.15833333331684035,10.0
solved γ=10,40,0.15833333331684035,10.0
solved γ=10,41,0.11874999998763026,10.0
solved γ=10,42,0.11874999998763026,10.0
solved γ=10,43,0.11874999998763026,10.0
solved γ=10,44,0.11874999998763026,10.0
solved γ=10,45,0.11874999998763026,10.0
solved γ=10,46,0.07916666665842018,10.0
solved γ=10,47,0.07916666665842018,10.0
solved γ=10,48,0.07916666665842018,10.0
solved γ=10,49,0.07916666665842018,10.0
solved γ=10,50,0.05937499999381513,10.0
solved γ=10,51,0.07916666665842018,10.0
solved γ=10,52,0.05937499999381513,10.0
solved γ=10,53,0.03958333332921009,10.0
solved γ=10,54,0.03958333332921009,10.0
solved γ=10,55,0.03958333332921009,10.0
solved γ=10,56,0.019791666664605044,10.0
solved γ=10,57,0.019791666664605044,10.0
solved γ=10,58,7.916666665842018e-11,10.0
solved γ=10,59,7.916666665842018e-11,10.0
solved γ=10,60,7.916666665842018e-11,10.0
solved γ=10,61,7.916666665842018e-11,10.0
solved γ=10,62,7.916666665842018e-11,10.0
