window_years,asset,horizon_years,observations,correlation,pearson,forward_low_inflation,forward_high_inflation,gap
1,dom_eq,1,2030,-0.17312165808560637,-0.09052727221126218,0.09728283518014352,0.02939355804058307,-0.06788927713956046
1,dom_eq,5,1962,-0.11640791310107394,-0.07434331211166756,0.05687474542857777,0.03199603423806627,-0.0248787111905115
1,dom_eq,10,1877,0.01609479069175277,-0.07998541794480915,0.044480912457179556,0.04643606191232861,0.0019551494551490536
1,dom_eq,30,1537,0.12624155938963774,-0.06771333086502081,0.03194779805723002,0.045993667263552196,0.014045869206322177
1,intl_eq,1,2062,-0.19447216204098314,-0.006744081434997039,0.10877804949091245,0.05704418276278224,-0.05173386672813021
1,intl_eq,5,1994,-0.061233333668761526,0.014959443288161161,0.07329403568447058,0.06079603548882234,-0.012498000195648243
1,intl_eq,10,1909,0.10220363034570677,-0.021112058799648652,0.06246474685946354,0.07410189067176072,0.011637143812297183
1,intl_eq,30,1569,0.15945637205323396,0.013996345716302993,0.06095065286458705,0.07015777057649186,0.009207117711904814
1,bond,1,2020,-0.2931377704457134,-0.16106931613587283,0.04741279991062456,-0.02701420378460146,-0.07442700369522602
1,bond,5,1936,-0.2076206299585954,-0.08310636241214575,0.027249771321407323,-0.015117571057105749,-0.04236734237851307
1,bond,10,1831,-0.06563846453087611,-0.034739951826419625,0.014259555874281736,-0.005591409063721511,-0.019850964938003247
1,bond,30,1436,0.27747521739698616,-0.001495382475529113,-0.01984381479352174,0.015122215149201128,0.03496602994272287
1,bill,1,2033,-0.34191924961445286,-0.2331439541288517,0.028932448163569085,-0.027846030777533802,-0.05677847894110288
1,bill,5,1940,-0.20131933202785263,-0.11180481429654433,0.01678902165269245,-0.012925182931906837,-0.029714204584599287
1,bill,10,1825,-0.049429320296452084,-0.054581955780674735,0.007828776344412485,-0.00310098310773781,-0.010929759452150295
1,bill,30,1388,0.17698526441198734,-0.05824654729874768,-0.008271904438582939,0.0005559003228960182,0.008827804761478958
1,inflation,1,2064,0.640579589896528,-0.00048471450176573917,0.0048693556199678354,1536477.920683196,1536477.9158138405
1,inflation,5,2000,0.5159475662183877,0.00042452144908364177,0.020683187704341636,1.2381240707737178,1.2174408830693761
1,inflation,10,1920,0.3948058738329729,0.002597558809466928,0.04899242415983596,0.23668871596790747,0.1876962918080715
1,inflation,30,1600,0.12628225466759332,0.001250647918225643,0.084545198831889,0.08162868096568443,-0.0029165178662045738
3,dom_eq,1,2006,-0.10004141359986204,-0.03033474156810029,0.07615577105278651,0.04924067251105102,-0.026915098541735488
3,dom_eq,5,1938,-0.06333241153147223,-0.03929852549238103,0.052213631711644504,0.03973672538854153,-0.012476906323102971
3,dom_eq,10,1853,0.10510681756915614,-0.04629960267025663,0.038312949462389154,0.05531368381233301,0.017000734349943855
3,dom_eq,30,1513,0.1653357870910085,-0.0362253278439273,0.030997054022398086,0.047326893242333856,0.01632983921993577
3,intl_eq,1,2030,-0.11754061033345274,0.0002224676482357524,0.09433099903980584,0.07493204458344394,-0.019398954456361903
3,intl_eq,5,1962,0.02105255422674643,0.012492302753378546,0.06645783401070904,0.07029506193842991,0.003837227927720871
3,intl_eq,10,1877,0.2142247306296816,-0.02744977497331696,0.056120898934037954,0.08318499249579324,0.027064093561755286
3,intl_eq,30,1537,0.20861331695991636,0.029879824006466296,0.06155127630449904,0.07204275996585183,0.010491483661352788
3,bond,1,1994,-0.21639458131588218,-0.07633009634420403,0.03816134570269465,-0.01747199732430292,-0.05563334302699757
3,bond,5,1910,-0.1492931280688152,-0.03369452244209077,0.027435150966803455,-0.010311127733677627,-0.037746278700481084
3,bond,10,1805,0.013756651768307896,0.004857701849419564,0.01071040913484782,0.0019806422588929903,-0.00872976687595483
3,bond,30,1414,0.3124233184346215,0.04821689928594483,-0.020532078226088695,0.014862129121715986,0.035394207347804685
3,bill,1,2001,-0.2660724504865367,-0.10191443700293547,0.024730965959134914,-0.023382903923760703,-0.04811386988289562
3,bill,5,1908,-0.14667264806045516,-0.032971239446961474,0.016166140613653474,-0.011250865540488729,-0.027417006154142203
3,bill,10,1793,0.022690812347076667,0.012245807974660444,0.005758503052314905,0.00151755153377289,-0.004240951518542015
3,bill,30,1362,0.19595785671644889,-0.023149007381837845,-0.00776237885879263,0.00015632296033950662,0.007918701819132137
3,inflation,1,2032,0.5824183862671398,-0.00040483723712483974,0.008821499248620536,1559139.83221031,1559139.8233888107
3,inflation,5,1968,0.49723653427450415,-0.0009609796683943205,0.0205106961993273,1.2565781193840355,1.2360674231847082
3,inflation,10,1888,0.3535376940564422,-0.002304963650788229,0.05210764149056718,0.23514860034393661,0.18304095885336943
3,inflation,30,1568,0.11616029676226225,-0.009089069884938206,0.08287035503116785,0.07887369906994592,-0.003996655961221937
5,dom_eq,1,1982,-0.07399056713105989,-0.008992485466521219,0.07165534275165816,0.05598484430480989,-0.01567049844684827
5,dom_eq,5,1914,-0.0059220595738272135,-0.06371804440986373,0.04684942667488775,0.046582257773947484,-0.000267168900940265
5,dom_eq,10,1829,0.16961367692836324,-0.046000273751446,0.033667810557212685,0.06026011032147767,0.026592299764264984
5,dom_eq,30,1489,0.1722739084582767,-0.04180184413849039,0.031025879568526475,0.04664574286317365,0.015619863294647172
5,intl_eq,1,1998,-0.06924427092150931,0.009825814397752732,0.08077970626739663,0.08254790631823526,0.0017682000508386364
5,intl_eq,5,1930,0.10829240475755868,-0.008030638146792208,0.05803932124734378,0.07913480420418087,0.021095482956837087
5,intl_eq,10,1845,0.29895050918678756,-0.033808882755086166,0.05135742704483342,0.08939832900243086,0.03804090195759744
5,intl_eq,30,1505,0.2259606576316705,0.05073702041437889,0.061887975125350485,0.07316054950477677,0.011272574379426283
5,bond,1,1968,-0.17554124279873268,-0.07051241476118376,0.03515493163081997,-0.010939103477505142,-0.04609403510832512
5,bond,5,1884,-0.07961103114827933,-0.024565464545830928,0.021080051540196907,-0.005900408721600896,-0.026980460261797803
5,bond,10,1779,0.09967959454119378,0.017912390679493427,0.0036607432486073267,0.007138232265982635,0.003477489017375308
5,bond,30,1392,0.33176656166674984,0.07878798957636855,-0.02442276044377753,0.015737507001177625,0.040160267444955156
5,bill,1,1969,-0.191894870311449,-0.08624368338790964,0.021629414939016434,-0.019367517735741472,-0.0409969326747579
5,bill,5,1876,-0.05655486588791638,-0.005738946176357404,0.011212794022767286,-0.008123125615522659,-0.019335919638289945
5,bill,10,1761,0.11373105532119042,0.033850169051252564,-0.00034365798775899133,0.004517791747972683,0.004861449735731675
5,bill,30,1337,0.1998724230119426,0.008052314500039353,-0.008254591786594986,0.00033410343684841013,0.008588695223443396
5,inflation,1,2000,0.5334359314278998,0.0023751778128444393,0.011272526802827093,1584852.7775780428,1584852.766305516
5,inflation,5,1936,0.43275998729725995,0.000828300007515392,0.025530344515776668,1.2718528321603229,1.2463224876445462
5,inflation,10,1856,0.280766235471967,-0.002549668382282319,0.039471513892337766,0.23364957759879065,0.19417806370645288
5,inflation,30,1536,0.08945516193096728,-0.013614742370855398,0.09513471144741571,0.0777918481759437,-0.01734286327147201
